"","site","date","SeedClim_plotID","FunCaB_plotID","soil_moisture"
"438","Vikesland",2016-06-28,"134 TTC","Vik2C",0.1035
"439","Vikesland",2016-06-28,"141 TTC","Vik4C",0.15825
"440","Vikesland",2016-06-28,"140 TTC","Vik3C",0.13025
"441","Vikesland",2016-06-28,"146 TTC","Vik5C",0.15875
"442","Vikesland",2016-07-06,"134 TTC","Vik2C",0.16525
"443","Vikesland",2016-07-06,"140 TTC","Vik3C",0.15675
"444","Vikesland",2016-07-06,"141 TTC","Vik4C",0.15
"445","Vikesland",2016-07-06,"146 TTC","Vik5C",0.1705
"446","Vikesland",2016-07-06,"Vik1XC","Vik1XC",0.20925
"447","Vikesland",2016-07-06,"Vik2XC","Vik2XC",0.14375
"448","Vikesland",2016-07-06,"Vik3XC","Vik3XC",0.183
"449","Vikesland",2016-07-06,"Vik4XC","Vik4XC",0.14425
