"","site","date","SeedClim_plotID","FunCaB_plotID","soil_moisture"
"305","Lavisdalen",2016-08-03,"87 TTC","",0.32
"306","Lavisdalen",2016-08-03,"94 TTC","",0.31325
"307","Lavisdalen",2016-08-03,"99 TTC","",0.27925
"308","Lavisdalen",2016-08-03,"Lav1XC","Lav1XC",0.25925
"309","Lavisdalen",2016-08-03,"Lav2XC","Lav2XC",0.29875
"310","Lavisdalen",2016-08-03,"Lav3XC","Lav3XC",0.365
"311","Lavisdalen",2016-08-03,"Lav4XC","Lav4XC",0.35975
"312","Lavisdalen",2016-08-03,"Lav1C","Lav1C",0.19525
"313","Lavisdalen",2016-08-03,"Lav2C","Lav2C",0.26875
"314","Lavisdalen",2016-08-03,"Lav3C","Lav3C",0.27
"315","Lavisdalen",2016-08-03,"Lav4C","Lav4C",0.294
"316","Lavisdalen",2016-08-04,"78 TTC","",0.32325
"317","Lavisdalen",2016-08-04,"85 TTC","",0.425
"318","Lavisdalen",2016-08-04,"87 TTC","",0.30125
"319","Lavisdalen",2016-08-04,"94 TTC","",0.27925
"320","Lavisdalen",2016-08-04,"99 TTC","",0.3715
"321","Lavisdalen",2016-08-04,"Lav1XC","Lav1XC",0.284
"322","Lavisdalen",2016-08-04,"Lav2XC","Lav2XC",0.37425
"323","Lavisdalen",2016-08-04,"Lav3XC","Lav3XC",0.3685
"324","Lavisdalen",2016-08-04,"Lav4XC","Lav4XC",0.3665
"325","Lavisdalen",2016-08-04,"Lav1C","Lav1C",0.2495
"326","Lavisdalen",2016-08-04,"Lav2C","Lav2C",0.33
"327","Lavisdalen",2016-08-04,"Lav3C","Lav3C",0.2775
"328","Lavisdalen",2016-08-04,"Lav4C","Lav4C",0.285
"329","Gudmedalen",2016-06-29,"506 TTC","Gud5C",0.570875
"330","Gudmedalen",2016-06-29,"511 TTC","Gud12C",0.648
"331","Gudmedalen",2016-06-29,"516 TTC","",0.59975
"332","Gudmedalen",2016-06-29,"167 TTC","",0.484
"333","Gudmedalen",2016-06-29,"506 TTC","",0.570875
"334","Gudmedalen",2016-06-29,"Gud1XC","Gud1XC",0.62075
"335","Gudmedalen",2016-06-29,"Gud2XC","Gud2XC",0.70375
"336","Gudmedalen",2016-06-29,"Gud3XC","Gud3XC",0.51875
"337","Gudmedalen",2016-06-29,"Gud4XC","Gud4XC",0.525
"338","Gudmedalen",2016-06-29,"Gud13C","Gud13C",0.53
"339","Gudmedalen",2016-06-29,"Gud15C","Gud15C",0.33625
"340","Gudmedalen",2016-08-22,"511 TTC","Gud12C",0.6535
"341","Gudmedalen",2016-08-22,"Gud1XC","Gud1XC",0.47225
"342","Gudmedalen",2016-08-22,"Gud2XC","Gud2XC",0.62175
"343","Gudmedalen",2016-08-22,"Gud3XC","Gud3XC",0.475
"344","Gudmedalen",2016-08-22,"Gud4XC","Gud4XC",0.48625
"345","Gudmedalen",2016-08-22,"506 TTC","Gud5C",0.50925
"346","Gudmedalen",2016-08-22,"Gud13C","Gud13C",0.49375
"347","Gudmedalen",2016-08-22,"Gud15C","Gud15C",0.33975
"348","Gudmedalen",2016-08-23,"511 TTC","Gud12C",0.6285
"349","Gudmedalen",2016-08-23,"167 TTC","",0.5685
