Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Låv	Suc_pra	Novel	2	5	2018	14.09.2018		2			16,5	8,0		8		86	24																				
Låv	Hyp_mac	Novel	2	5	2018	14.09.2018		1			27,0	16,5	210	133		23	13	2										10			2						
Låv	Hyp_mac	Novel	2	5	2018	14.09.2018		2			28,5	8,5	162	61		17	9	1																			
Låv	Car_pal	Novel	3	3	2018	14.09.2018	IA	2			8,0	18,5		4		74																					
Låv	Car_pal	Novel	3	3	2018	14.09.2018	IA	3			8,5	9,0		11		186																	26				3 shoots
Låv	Car_pal	Novel	3	3	2018	14.09.2018	IA	4			8,5	7,5		4		185																					
Låv	Car_pal	Novel	3	3	2018	14.09.2018	IA	5			7,0	6,0		2		176																	24				
Gud	Car_pal	Novel	1	2	2018	03.09.2018	SO	1		1	6,5	19,5		9		215																1	30				
Gud	Car_pal	Novel	1	2	2018	03.09.2018	SO	2		1	7,0	16,0		3		97																0					
Gud	Car_pal	Novel	1	2	2018	03.09.2018	SO	3		2	7,5	9,0		4		132																0					
Gud	Car_pal	Novel	1	2	2018	03.09.2018	SO	4		2	9,0	9,0		3		95																1	23				
Gud	Car_pal	Novel	1	2	2018	03.09.2018	SO	5		2	9,5	8,5		6		144																0					
Gud	Car_pal	Novel	1	6	2018	03.09.2018	SO	1		1	5,0	20,0		5		165																					
Gud	Car_pal	Novel	1	6	2018	03.09.2018	SO	2			7,0	19,5		4		156																1	36				
Gud	Car_pal	Novel	1	6	2018	03.09.2018	SO	3		2	7,5	8,0		6		120																1	36				
Gud	Car_pal	Novel	1	6	2018	03.09.2018	SO	4		2	7,0	6,5		7		223																					
Gud	Car_pal	Novel	1	6	2018	03.09.2018	SO	5			7,0	10,0																									
Låv	Hyp_mac	Novel	3	6	2018	11.09.2018	RG	1			7,5	17,5	193	212		12	7	3						1				1									14 branches
Låv	Hyp_mac	Novel	3	6	2018	11.09.2018	RG	2			8,5	7,0	205	93		16	10																				5 branches
Låv	Suc_pra	Novel	3	6	2018	11.09.2018	RG	1			18,5	16,5		8		84	26																				
Låv	Suc_pra	Novel	3	6	2018	11.09.2018	RG	2			15,5	7,5		18	14+4	118	29											10									flower is broken (ca 10 flowers)
Gud	Car_pal	Novel	1	6	2018	03.09.2018	SO	6		1	5,5	18,5		5		150																1	44				
Gud	Car_pal	Novel	3	3	2018	03.09.2018	RG	1			16,0	18,0		5		139																					
Låv	Suc_pra	Novel	4	1	2018	14.09.2018	IA	1			8,0	18,0		11		67	21																				
Låv	Suc_pra	Novel	4	1	2018	14.09.2018	IA	2			8,5	7,5		14		76	25																				
Gud	Car_pal	Novel	3	3	2018	03.09.2018	RG	2			17,5	18,0		3		98																	21				
