ID;Species;Site;Water_potential;Replicate;Seed;Start_date;Germination_date;Comment;Cotelydon_date;Leaf_date;dead_date;Wet_mass_g_root;Wet_mass_g_rest;Comment;Wet_mass_g_True leaf;Total wet mass
SP_GUD_1_7_9;SP;GUD;1;7;9;17.02.2020;;;;;;;;;;
SP_GUD_1_7_10;SP;GUD;1;7;10;17.02.2020;;;;;;;;;;
SP_GUD_1_7_11;SP;GUD;1;7;11;17.02.2020;;;;;;;;;;
SP_GUD_1_7_12;SP;GUD;1;7;12;17.02.2020;;;;;;;;;;
SP_GUD_1_7_13;SP;GUD;1;7;13;17.02.2020;;;;;;;;;;
SP_GUD_1_7_14;SP;GUD;1;7;14;17.02.2020;;;;;;;;;;
SP_GUD_1_7_15;SP;GUD;1;7;15;17.02.2020;;;;;;;;;;
SP_GUD_1_7_16;SP;GUD;1;7;16;17.02.2020;;;;;;;;;;
SP_GUD_1_7_17;SP;GUD;1;7;17;17.02.2020;;;;;;;;;;
SP_GUD_1_7_18;SP;GUD;1;7;18;17.02.2020;;;;;;;;;;
SP_GUD_1_7_19;SP;GUD;1;7;19;17.02.2020;;;;;;;;;;
SP_GUD_1_7_20;SP;GUD;1;7;20;17.02.2020;;;;;;;;;;
SP_GUD_1_8_1;SP;GUD;1;8;1;17.02.2020;;;;;;;;;;
SP_GUD_1_8_2;SP;GUD;1;8;2;17.02.2020;;;;;;;;;;
SP_GUD_1_8_3;SP;GUD;1;8;3;17.02.2020;;;;;;;;;;
SP_GUD_1_8_4;SP;GUD;1;8;4;17.02.2020;;;;;;;;;;
SP_GUD_1_8_5;SP;GUD;1;8;5;17.02.2020;;;;;;;;;;
SP_GUD_1_8_6;SP;GUD;1;8;6;17.02.2020;;;;;;;;;;
SP_GUD_1_8_7;SP;GUD;1;8;7;17.02.2020;;;;;;;;;;
SP_GUD_1_8_8;SP;GUD;1;8;8;17.02.2020;;;;;;;;;;
SP_GUD_1_8_9;SP;GUD;1;8;9;17.02.2020;;;;;;;;;;
SP_GUD_1_8_10;SP;GUD;1;8;10;17.02.2020;;;;;;;;;;
SP_GUD_1_8_11;SP;GUD;1;8;11;17.02.2020;;;;;;;;;;
SP_GUD_1_8_12;SP;GUD;1;8;12;17.02.2020;;;;;;;;;;
SP_GUD_1_8_13;SP;GUD;1;8;13;17.02.2020;;;;;;;;;;
SP_GUD_1_8_14;SP;GUD;1;8;14;17.02.2020;;;;;;;;;;
SP_GUD_1_8_15;SP;GUD;1;8;15;17.02.2020;;;;;;;;;;
SP_GUD_1_8_16;SP;GUD;1;8;16;17.02.2020;;;;;;;;;;
SP_GUD_1_8_17;SP;GUD;1;8;17;17.02.2020;;;;;;;;;;
SP_GUD_1_8_18;SP;GUD;1;8;18;17.02.2020;;;;;;;;;;
SP_GUD_1_8_19;SP;GUD;1;8;19;17.02.2020;;;;;;;;;;
SP_GUD_1_8_20;SP;GUD;1;8;20;17.02.2020;;;;;;;;;;
SP_GUD_1_9_1;SP;GUD;1;9;1;17.02.2020;;;;;;;;;;
SP_GUD_1_9_2;SP;GUD;1;9;2;17.02.2020;;;;;;;;;;
SP_GUD_1_9_3;SP;GUD;1;9;3;17.02.2020;;;;;;;;;;
SP_GUD_1_9_4;SP;GUD;1;9;4;17.02.2020;;;;;;;;;;
SP_GUD_1_9_5;SP;GUD;1;9;5;17.02.2020;;;;;;;;;;
SP_GUD_1_9_6;SP;GUD;1;9;6;17.02.2020;;;;;;;;;;
SP_GUD_1_9_7;SP;GUD;1;9;7;17.02.2020;;;;;;;;;;
SP_LAV_4_9_8;SP;LAV;4;9;8;18.02.2020;02.03.2020;;05.03.2020;11.03.2020;;0,00027;0,00084;;0,00018;
SP_GUD_1_9_9;SP;GUD;1;9;9;17.02.2020;;;;;;;;;;
SP_GUD_1_9_10;SP;GUD;1;9;10;17.02.2020;;No germination date;09.03.2020;17.03.2020;;;;;;
SP_GUD_1_9_11;SP;GUD;1;9;11;17.02.2020;;;;;;;;;;
SP_GUD_1_9_12;SP;GUD;1;9;12;17.02.2020;;;;;;;;;;
SP_GUD_1_9_13;SP;GUD;1;9;13;17.02.2020;;;;;;;;;;
SP_GUD_1_9_14;SP;GUD;1;9;14;17.02.2020;;;;;;;;;;
SP_GUD_1_9_15;SP;GUD;1;9;15;17.02.2020;;;;;;;;;;
SP_GUD_1_9_16;SP;GUD;1;9;16;17.02.2020;;;;;;;;;;
SP_GUD_1_9_17;SP;GUD;1;9;17;17.02.2020;;;;;;;;;;
SP_GUD_1_9_18;SP;GUD;1;9;18;17.02.2020;;;;;;;;;;
SP_GUD_1_9_19;SP;GUD;1;9;19;17.02.2020;;;;;;;;;;
SP_GUD_1_9_20;SP;GUD;1;9;20;17.02.2020;;;;;;;;;;
SP_GUD_2_1_1;SP;GUD;2;1;1;17.02.2020;26.03.2020;;;;;;;;;
SP_GUD_2_1_2;SP;GUD;2;1;2;17.02.2020;23.03.2020;;23.03.2020;;;;;;;
SP_GUD_2_1_3;SP;GUD;2;1;3;17.02.2020;17.03.2020;;17.03.2020;26.03.2020;;;;;;
SP_GUD_2_1_4;SP;GUD;2;1;4;17.02.2020;;;;;;;;;;
SP_GUD_2_1_5;SP;GUD;2;1;5;17.02.2020;;;;;;;;;;
SP_GUD_2_1_6;SP;GUD;2;1;6;17.02.2020;;;;;;;;;;
SP_GUD_2_1_7;SP;GUD;2;1;7;17.02.2020;;;;;;;;;;
SP_GUD_2_1_8;SP;GUD;2;1;8;17.02.2020;;;;;;;;;;
SP_GUD_2_1_9;SP;GUD;2;1;9;17.02.2020;;;;;;;;;;
SP_GUD_2_1_10;SP;GUD;2;1;10;17.02.2020;;;;;;;;;;
SP_GUD_2_1_11;SP;GUD;2;1;11;17.02.2020;;;;;;;;;;
SP_GUD_2_1_12;SP;GUD;2;1;12;17.02.2020;09.03.2020;;17.03.2020;17.03.2020;;;;;;
SP_GUD_2_1_13;SP;GUD;2;1;13;17.02.2020;26.03.2020;;;;;;;;;
SP_GUD_2_1_14;SP;GUD;2;1;14;17.02.2020;;;;;;;;;;
SP_GUD_2_1_15;SP;GUD;2;1;15;17.02.2020;;;;;;;;;;
SP_GUD_2_1_16;SP;GUD;2;1;16;17.02.2020;;;;;;;;;;
SP_GUD_2_1_17;SP;GUD;2;1;17;17.02.2020;;;;;;;;;;
SP_GUD_2_1_18;SP;GUD;2;1;18;17.02.2020;17.03.2020;;23.03.2020;26.03.2020;;;;;;
SP_GUD_2_1_19;SP;GUD;2;1;19;17.02.2020;;;;;;;;;;
SP_GUD_2_1_20;SP;GUD;2;1;20;17.02.2020;26.03.2020;;;;;;;;;
SP_GUD_2_2_1;SP;GUD;2;2;1;17.02.2020;;;;;;;;;;
SP_GUD_2_2_2;SP;GUD;2;2;2;17.02.2020;;;;;;;;;;
SP_GUD_2_2_3;SP;GUD;2;2;3;17.02.2020;;;;;;;;;;
SP_GUD_2_2_4;SP;GUD;2;2;4;17.02.2020;;;;;;;;;;
SP_GUD_2_2_5;SP;GUD;2;2;5;17.02.2020;;;;;;;;;;
SP_GUD_2_2_6;SP;GUD;2;2;6;17.02.2020;;;;;;;;;;
SP_GUD_2_2_7;SP;GUD;2;2;7;17.02.2020;;;;;;;;;;
SP_GUD_2_2_8;SP;GUD;2;2;8;17.02.2020;;;;;;;;;;
SP_GUD_2_2_9;SP;GUD;2;2;9;17.02.2020;;;;;;;;;;
SP_GUD_2_2_10;SP;GUD;2;2;10;17.02.2020;;;;;;;;;;
SP_LAV_4_9_14;SP;LAV;4;9;14;18.02.2020;02.03.2020;;05.03.2020;17.03.2020;;;;;;
SP_GUD_2_2_12;SP;GUD;2;2;12;17.02.2020;;No germination date.;09.03.2020;17.03.2020;;;;;;
SP_GUD_2_2_13;SP;GUD;2;2;13;17.02.2020;;;;;;;;;;
SP_GUD_2_2_14;SP;GUD;2;2;14;17.02.2020;;;;;;;;;;
SP_GUD_2_2_15;SP;GUD;2;2;15;17.02.2020;;;;;;;;;;
SP_GUD_2_2_16;SP;GUD;2;2;16;17.02.2020;;;;;;;;;;
SP_GUD_2_2_17;SP;GUD;2;2;17;17.02.2020;;;;;;;;;;
SP_GUD_2_2_18;SP;GUD;2;2;18;17.02.2020;;;;;;;;;;
SP_GUD_2_2_19;SP;GUD;2;2;19;17.02.2020;;;;;;;;;;
SP_GUD_2_2_20;SP;GUD;2;2;20;17.02.2020;;;;;;;;;;
SP_GUD_2_3_1;SP;GUD;2;3;1;17.02.2020;;;;;;;;;;
SP_GUD_2_3_2;SP;GUD;2;3;2;17.02.2020;;;;;;;;;;
SP_GUD_2_3_3;SP;GUD;2;3;3;17.02.2020;;;;;;;;;;
SP_GUD_2_3_4;SP;GUD;2;3;4;17.02.2020;;;;;;;;;;
SP_GUD_2_3_5;SP;GUD;2;3;5;17.02.2020;;;;;;;;;;
SP_GUD_2_3_6;SP;GUD;2;3;6;17.02.2020;;;;;;;;;;
SP_GUD_2_3_7;SP;GUD;2;3;7;17.02.2020;;;;;;;;;;
SP_GUD_2_3_8;SP;GUD;2;3;8;17.02.2020;;;;;;;;;;
SP_GUD_2_3_9;SP;GUD;2;3;9;17.02.2020;;;;;;;;;;
SP_GUD_2_3_10;SP;GUD;2;3;10;17.02.2020;;;;;;;;;;
SP_GUD_2_3_11;SP;GUD;2;3;11;17.02.2020;;;;;;;;;;
SP_GUD_2_3_12;SP;GUD;2;3;12;17.02.2020;;;;;;;;;;
SP_GUD_2_3_13;SP;GUD;2;3;13;17.02.2020;;;;;;;;;;
SP_GUD_2_3_14;SP;GUD;2;3;14;17.02.2020;;;;;;;;;;
SP_GUD_2_3_15;SP;GUD;2;3;15;17.02.2020;;;;;;;;;;
SP_GUD_2_3_16;SP;GUD;2;3;16;17.02.2020;;;;;;;;;;
SP_GUD_2_3_17;SP;GUD;2;3;17;17.02.2020;;;;;;;;;;
SP_GUD_2_3_18;SP;GUD;2;3;18;17.02.2020;;;;;;;;;;
SP_GUD_2_3_19;SP;GUD;2;3;19;17.02.2020;;;;;;;;;;
SP_GUD_2_3_20;SP;GUD;2;3;20;17.02.2020;;;;;;;;;;
SP_GUD_2_4_1;SP;GUD;2;4;1;17.02.2020;;;;;;;;;;
SP_GUD_2_4_2;SP;GUD;2;4;2;17.02.2020;;;;;;;;;;
SP_GUD_2_4_3;SP;GUD;2;4;3;17.02.2020;;;;;;;;;;
SP_GUD_2_4_4;SP;GUD;2;4;4;17.02.2020;;;;;;;;;;
SP_GUD_2_4_5;SP;GUD;2;4;5;17.02.2020;;;;;;;;;;
SP_GUD_2_4_6;SP;GUD;2;4;6;17.02.2020;;;;;;;;;;
SP_GUD_2_4_7;SP;GUD;2;4;7;17.02.2020;;;;;;;;;;
SP_GUD_2_4_8;SP;GUD;2;4;8;17.02.2020;;;;;;;;;;
SP_GUD_2_4_9;SP;GUD;2;4;9;17.02.2020;;;;;;;;;;
SP_GUD_2_4_10;SP;GUD;2;4;10;17.02.2020;;;;;;;;;;
SP_GUD_2_4_11;SP;GUD;2;4;11;17.02.2020;;;;;;;;;;
SP_GUD_2_4_12;SP;GUD;2;4;12;17.02.2020;;;;;;;;;;
SP_GUD_2_4_13;SP;GUD;2;4;13;17.02.2020;;;;;;;;;;
SP_LAV_5_7_5;SP;LAV;5;7;5;18.02.2020;02.03.2020;;17.03.2020;;;;;;;
SP_GUD_2_4_15;SP;GUD;2;4;15;17.02.2020;;;;;;;;;;
SP_GUD_2_4_16;SP;GUD;2;4;16;17.02.2020;;;;;;;;;;
SP_GUD_2_4_17;SP;GUD;2;4;17;17.02.2020;;;;;;;;;;
SP_GUD_2_4_18;SP;GUD;2;4;18;17.02.2020;;;;;;;;;;
SP_GUD_2_4_19;SP;GUD;2;4;19;17.02.2020;;;;;;;;;;
SP_GUD_2_4_20;SP;GUD;2;4;20;17.02.2020;;;;;;;;;;
SP_GUD_2_5_1;SP;GUD;2;5;1;17.02.2020;;;;;;;;;;
SP_GUD_2_5_2;SP;GUD;2;5;2;17.02.2020;;;;;;;;;;
SP_GUD_2_5_3;SP;GUD;2;5;3;17.02.2020;;;;;;;;;;
SP_GUD_2_5_4;SP;GUD;2;5;4;17.02.2020;;;;;;;;;;
SP_GUD_2_5_5;SP;GUD;2;5;5;17.02.2020;;;;;;;;;;
SP_GUD_2_5_6;SP;GUD;2;5;6;17.02.2020;;;;;;;;;;
SP_GUD_2_5_7;SP;GUD;2;5;7;17.02.2020;;;;;;;;;;
SP_GUD_2_5_8;SP;GUD;2;5;8;17.02.2020;;;;;;;;;;
SP_GUD_2_5_9;SP;GUD;2;5;9;17.02.2020;;;;;;;;;;
SP_GUD_2_5_10;SP;GUD;2;5;10;17.02.2020;;;;;;;;;;
SP_GUD_2_5_11;SP;GUD;2;5;11;17.02.2020;;;;;;;;;;
SP_GUD_2_5_12;SP;GUD;2;5;12;17.02.2020;;;;;;;;;;
SP_GUD_2_5_13;SP;GUD;2;5;13;17.02.2020;;;;;;;;;;
SP_GUD_2_5_14;SP;GUD;2;5;14;17.02.2020;;;;;;;;;;
SP_GUD_2_5_15;SP;GUD;2;5;15;17.02.2020;;;;;;;;;;
SP_GUD_2_5_16;SP;GUD;2;5;16;17.02.2020;;;;;;;;;;
SP_GUD_2_5_17;SP;GUD;2;5;17;17.02.2020;;;;;;;;;;
SP_GUD_2_5_18;SP;GUD;2;5;18;17.02.2020;;;;;;;;;;
SP_GUD_2_5_19;SP;GUD;2;5;19;17.02.2020;;;;;;;;;;
SP_GUD_2_5_20;SP;GUD;2;5;20;17.02.2020;;;;;;;;;;
SP_GUD_2_6_1;SP;GUD;2;6;1;17.02.2020;;;;;;;;;;
SP_GUD_2_6_2;SP;GUD;2;6;2;17.02.2020;;;;;;;;;;
SP_GUD_2_6_3;SP;GUD;2;6;3;17.02.2020;;;;;;;;;;
SP_GUD_2_6_4;SP;GUD;2;6;4;17.02.2020;;;;;;;;;;
SP_GUD_2_6_5;SP;GUD;2;6;5;17.02.2020;;;;;;;;;;
SP_GUD_2_6_6;SP;GUD;2;6;6;17.02.2020;;;;;;;;;;
SP_GUD_2_6_7;SP;GUD;2;6;7;17.02.2020;;;;;;;;;;
SP_GUD_2_6_8;SP;GUD;2;6;8;17.02.2020;;;;;;;;;;
SP_GUD_2_6_9;SP;GUD;2;6;9;17.02.2020;;;;;;;;;;
SP_GUD_2_6_10;SP;GUD;2;6;10;17.02.2020;;;;;;;;;;
SP_GUD_2_6_11;SP;GUD;2;6;11;17.02.2020;;;;;;;;;;
SP_GUD_2_6_12;SP;GUD;2;6;12;17.02.2020;;;;;;;;;;
SP_GUD_2_6_13;SP;GUD;2;6;13;17.02.2020;;;;;;;;;;
SP_GUD_2_6_14;SP;GUD;2;6;14;17.02.2020;;;;;;;;;;
SP_GUD_2_6_15;SP;GUD;2;6;15;17.02.2020;;;;;;;;;;
SP_GUD_2_6_16;SP;GUD;2;6;16;17.02.2020;;;;;;;;;;
SP_GUD_2_6_17;SP;GUD;2;6;17;17.02.2020;;;;;;;;;;
SP_GUD_2_6_18;SP;GUD;2;6;18;17.02.2020;;;;;;;;;;
SP_GUD_2_6_19;SP;GUD;2;6;19;17.02.2020;;;;;;;;;;
SP_GUD_2_6_20;SP;GUD;2;6;20;17.02.2020;;;;;;;;;;
SP_GUD_2_7_1;SP;GUD;2;7;1;17.02.2020;;;;;;;;;;
SP_GUD_2_7_2;SP;GUD;2;7;2;17.02.2020;;;;;;;;;;
SP_GUD_2_7_3;SP;GUD;2;7;3;17.02.2020;;;;;;;;;;
SP_GUD_2_7_4;SP;GUD;2;7;4;17.02.2020;;;;;;;;;;
SP_GUD_2_7_5;SP;GUD;2;7;5;17.02.2020;;;;;;;;;;
