Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Gud	Car_pil	Extant	1	4	2018	03.09.2018	SO	7			17,0	7,0		5		76																					
Gud	Car_pil	Extant	1	4	2018	03.09.2018	SO	8			17,5	6,5		9		101																					
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	1		1	8,0	16,5	17	9		30	8																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	2		1	8,5	16,5	12	4		9	7																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	3	6	2	9,0	17,0	8	8		8	6																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	4	6	2	10,0	17,5	15	8		12	7																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	5	6	2	10,0	19,0	25	10		15	7																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	6		2	10,5	16,5	12	11		18	11																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	7		3	8,0	6,5	34	40		17	10																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	8		3	9,0	6,0	20	10		17	9																				
Ulv	Ver_off	Extant	2	2	2018	13.09.2018	RG/BM	9		3	9,0	8,0	6	3		10	5																				
Gud	Car_pil	Extant	2	3	2018	03.09.2018	ELE/RG	1			27,0	18,0		10		84																	18				
Gud	Car_pil	Extant	2	3	2018	03.09.2018	ELE/RG	2			28,0	17,5		7		141																					
Gud	Car_pil	Extant	2	3	2018	03.09.2018	ELE/RG	3			28,5	8,0		10		134																	22				
Gud	Car_pil	Extant	2	3	2018	03.09.2018	ELE/RG	4			29,0	7,5		5		113																					
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	1			6,5	17,5		7		96																					avblomstret
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	1			26,5	16,5	15	8		26	24																				
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	2			28,0	17,5	80	7		29	22																				
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	3			27,5	16,5	7	2		7	5																				juvenile
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	4			26,5	6,0	39	6		37	30																				
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	5			27,5	7,0	26	4		30	26																				
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	6			29,0	6,0	23	4		26	22																				
Ulv	Vio_can	Extant	2	2	2018	13.09.2018	RG/BM	7			17,0	17,0	17	2		12	12																				
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	2			7,0	17,0		6		92																					
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	3			6,0	16,0		6		64																					
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	4			6,5	15,5		3		73																	13				
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	5			7,0	15,0		4		47																					
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	6			7,5	15,5		7		110																					avblomstret
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	7			8,0	8,0		10		178																	8				
Gud	Car_pil	Extant	3	2	2018	03.09.2018	RG	8			8,5	7,0		4		69																					
Gud	Car_pil	Extant	3	6	2018	03.09.2018	ELE	1			28,0	19,0		9		69																					aks/topp borte
Gud	Car_pil	Extant	3	6	2018	03.09.2018	ELE	2			28,0	18,0		12		151																					
Gud	Car_pil	Extant	3	6	2018	03.09.2018	ELE	3			27,5	8,0		8		158																	33				
Gud	Car_pil	Extant	3	6	2018	03.09.2018	ELE	4			27,5	7,5		11		171																	19				
Gud	Car_pil	Extant	3	6	2018	03.09.2018	ELE	5			29,0	18,5		8		160																					
Gud	Car_pil	Extant	3	6	2018	03.09.2018	ELE	6			25,0	7,5		6		39																	19				
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	1			6,0	18,0		6		79																					
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	2			6,5	17,5		6		76																	?				avblomstret
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	3		2	4,5	7,0		6		88																2	6				Two (one with onlu leaves, and one with a stem, but to close to seperate)
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	4		2	5,0	8,0		4		67																					
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	5		2	6,0	8,5		4		55																					
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	6		2	7,0	8,5		11		70																3	16				3 stems (one with flower)
Ulv	Ver_off	Extant	3	5	2018	13.09.2018	SO	1			16,0	18,0	30	10		16	11																				
Ulv	Ver_off	Extant	3	5	2018	13.09.2018	SO	2			17,0	17,0	20	10		27	8																				
Ulv	Ver_off	Extant	3	5	2018	13.09.2018	SO	3			18,5	17,0	5	4		9	7																				
Ulv	Ver_off	Extant	3	5	2018	13.09.2018	SO	4			17,0	8,0	36	14		20	11																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	1			26,5	18,0	29	6		35	25																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	2			28,0	18,5	27	9		31	25																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	3			26,5	9,0	21	8		30	22																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	4			27,5	9,5	22	6		24	16																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	5			26,5	8,5	21	8		30	21																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	6			28,5	8,5	16	4		25	13																				
Ulv	Vio_can	Extant	3	5	2018	13.09.2018	SO	7			27,0	7,5	20	3		22	17																				
Ulv	Ver_off	Extant	4	1	2018	13.09.2018	RG	1			7,5	17,5	31	16		22	11																				
Ulv	Ver_off	Extant	4	1	2018	13.09.2018	RG	2			6,5	9,0	37	13		19	11																				
Ulv	Ver_off	Extant	4	1	2018	13.09.2018	RG	3			8,5	8,5	8	6		8	5																				
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	1			16,0	17,5	22	6		23	26																				
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	2			16,5	18,5	12	4		21	17																				
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	3			17,0	16,5	18	3		20	16																				
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	4			18,0	17,0	16	15		30	26																				2 shoots
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	5			17,0	8,0	22	11		26	25																				
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	6			16,5	6,5	12	3		19	17																				
Ulv	Vio_can	Extant	4	1	2018	13.09.2018	RG	7			17,5	7,0	16	10		25	21																				3 shoots
Gud	Car_pil	Extant	4	6	2018	04.09.2018	RG	7		2	8,0	7,0		4		48																1	13				
Gud	Car_pil	Extant	5	1	2018	03.09.2018	SO	1			27,0	19,0		13		92																1	20				
Gud	Car_pil	Extant	5	1	2018	03.09.2018	SO	2			28,5	18,5		5		171																					
Gud	Car_pil	Extant	5	1	2018	03.09.2018	SO	3			27,0	8,0		9		100																1	14				
Gud	Car_pil	Extant	5	1	2018	03.09.2018	SO	4			28,0	7,5		8		110																	10				
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	1			28,5	20,0		7		86																	24				
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	2			29,5	19,5		3		30																					
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	3			27,5	19,0		5		38																					grazed/cut
Ulv	Ver_off	Extant	4	4	2018	13.09.2018	RG	1		1	7,0	16,0	93	72		17	10																				(many shoots, will not be able to separate)
Ulv	Ver_off	Extant	4	4	2018	13.09.2018	RG	2	1	1	7,0	18,0	42	9		18	10																				
Ulv	Ver_off	Extant	4	4	2018	13.09.2018	RG	3			9,0	17,5	18	6		11	7																				
Ulv	Ver_off	Extant	4	4	2018	13.09.2018	RG	4	5		7,0	5,0	28	22		22	10																				
Ulv	Ver_off	Extant	4	4	2018	13.09.2018	RG	5			6,0	6,5	ca 90	28		10	7																				
Ulv	Vio_can	Extant	4	4	2018	13.09.2018	RG	1			15,5	15,5	17	18		31	25																				a group of many
Ulv	Vio_can	Extant	4	4	2018	13.09.2018	RG	2			16,0	7,0	22	2		20	16																				
Ulv	Vio_can	Extant	4	4	2018	13.09.2018	RG	3			18,5	6,5	32	5		26	26																				long and narrow leaves
Ulv	Vio_can	Extant	4	4	2018	13.09.2018	RG	4			17,0	8,0	22	3		18	16																				
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	4			28,0	18,0		8		83																					
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	5			28,0	17,0		5		71																	27				
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	6			27,5	16,0		8		94																					
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	7			28,5	16,0		9		57																	26				
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	8			27,5	8,0		13		103																					
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	9			27,5	7,0		5		40																	21				
Gud	Car_pil	Extant	5	5	2018	04.09.2018	ELE	10			29,0	17,5		5		70																					
Gud	Car_pil	Extant	6	6	2018	03.09.2018	SO	1		1	18,0	19,0		11		103																					
Gud	Car_pil	Extant	6	6	2018	03.09.2018	SO	2		1	17,5	18,5		3		40																1	13				
Gud	Car_pil	Extant	6	6	2018	03.09.2018	SO	3		1	19,0	18,5		8		63																					
Ulv	Vio_can	Extant	5	3	2018	13.09.2018	RG	1			15,5	20,0	18	11		28	26																				3 shoots
Ulv	Vio_can	Extant	5	3	2018	13.09.2018	RG	2			16,0	19,0	25	4		27	25																				
Ulv	Vio_can	Extant	5	3	2018	13.09.2018	RG	3			16,0	17,0	24	7		28	26																				
Ulv	Vio_can	Extant	5	3	2018	13.09.2018	RG	4			16,0	8,0	37	10		31	27											1									2 shoots
Ulv	Vio_can	Extant	5	3	2018	13.09.2018	RG	5			17,5	7,5	35	6		24	23											1									2 shoots
Ulv	Vio_can	Extant	5	3	2018	13.09.2018	RG	6			18,5	8,5	37	7		29	26																				
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	1	2		27,0	18,0	38	23		20	11	3																			
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	2			25,0	17,5	28	14		21	11																				
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	3			26,5	10,0	10	4		8	6																				
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	4	7		25,5	8,5	12	4		11	7																				
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	5	7		27,0	10,5	43	12		20	11																				
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	6	7		27,5	9,5	28	12		18	9																				
Ulv	Ver_off	Extant	5	3	2018	13.09.2018	RG	7			28,0	10,0	45	4		12	6																				
Gud	Car_pil	Extant	6	6	2018	03.09.2018	SO	4		1	17,0	17,0		8		89																					
Gud	Car_pil	Extant	6	6	2018	03.09.2018	SO	5		2	17,0	9,0		7		95																1	14				
Gud	Car_pil	Extant	6	6	2018	03.09.2018	SO	6		2	17,5	8,0		7		71																					
Gud	Car_pil	Extant	7	4	2018	03.09.2018	ELE	1			27,0	19,0		6		126																					
Gud	Car_pil	Extant	7	4	2018	03.09.2018	ELE	2			28,0	18,0		10		86																	21				
Gud	Car_pil	Extant	7	4	2018	03.09.2018	ELE	3			27,5	7,0		2		45																	14				
Gud	Car_pil	Extant	7	4	2018	03.09.2018	ELE	4			30,0	7,5		4		168																					
Ulv	Car_pil	Extant	1	4	2018	13.09.2018	IA & RG	1			26,5	19,0		3		74																					
Ulv	Car_pil	Extant	1	4	2018	13.09.2018	IA & RG	2			28,0	16,5		17		138																					2 shoots (cut off)
Ulv	Car_pil	Extant	1	4	2018	13.09.2018	IA & RG	3			28,0	8,5		9		85																	6				
Ulv	Ver_off	Extant	6	1	2018	13.09.2018	SO	1			9,0	16,0	55	24		28	18											18									
Ulv	Ver_off	Extant	6	1	2018	13.09.2018	SO	2			9,5	15,0	8	35		22	14																				
Ulv	Ver_off	Extant	6	1	2018	13.09.2018	SO	3			9,0	6,0	14	54		25	14																				
Ulv	Vio_can	Extant	6	1	2018	13.09.2018	SO	1			18,0	18,0	7	22		38	22																				
Ulv	Vio_can	Extant	6	1	2018	13.09.2018	SO	2			17,5	6,0	3	19		27	20																				
Ulv	Vio_can	Extant	6	1	2018	13.09.2018	SO	3			18,5	5,5	6	20		28	20																				
Ulv	Car_pil	Extant	1	3	2018	13.09.2018	RG/BM	1			27,5	19,0		9		78																	10				
Ulv	Car_pil	Extant	1	3	2018	13.09.2018	RG/BM	2			27,0	9,0		8		104																					
Ulv	Car_pil	Extant	1	3	2018	13.09.2018	RG/BM	3			27,5	6,0		10		120																					2 shoots
Ulv	Car_pil	Extant	2	2	2018	13.09.2018	RG/BM	1			16,0	17,5		11		134																					2 shoot
Ulv	Car_pil	Extant	2	2	2018	13.09.2018	RG/BM	2			17,5	16,0		17		154																	18				3 shoot
Ulv	Car_pil	Extant	2	2	2018	13.09.2018	RG/BM	3			15,5	7,5		12		138																					3 shoot
Ulv	Car_pil	Extant	2	2	2018	13.09.2018	RG/BM	4			16,0	6,5		12		150																					2 shoot
Ulv	Car_pil	Extant	2	2	2018	13.09.2018	RG/BM	5			17,0	5,5		8		112																	30				lose no survive 2 shoot
Ulv	Car_pil	Extant	3	5	2018	13.09.2018	SO	1			7,5	19,5		33		209																	16				
Ulv	Car_pil	Extant	3	5	2018	13.09.2018	SO	2			8,5	18,0		22		241																					
Ulv	Car_pil	Extant	3	5	2018	13.09.2018	SO	3			7,0	9,0		13		120																	11				
Ulv	Car_pil	Extant	3	5	2018	13.09.2018	SO	4			7,5	6,5		8		87																	13				
Ulv	Car_pil	Extant	4	1	2018	13.09.2018	RG	1			27,5	18,0		16		92																	15				3 shoots
Ulv	Car_pil	Extant	4	1	2018	13.09.2018	RG	2			26,0	8,5		23		85																	11				5 shoots
Ulv	Vio_can	Extant	6	5	2018	13.09.2018	SO	1			8,0	18,5	27	2		26	18																				
Ulv	Vio_can	Extant	6	5	2018	13.09.2018	SO	2			7,5	17,5	31	4		25	20																				
Ulv	Vio_can	Extant	6	5	2018	13.09.2018	SO	3			8,0	9,0	23	8		38	33																				
Ulv	Car_pil	Extant	4	4	2018	13.09.2018	RG	1			25,5	16,0		3		95																					3 leaves
Ulv	Car_pil	Extant	4	4	2018	13.09.2018	RG	2			27,0	16,5		13		120																					2 shoots
Ulv	Car_pil	Extant	4	4	2018	13.09.2018	RG	3			27,0	7,0		10		157																	10				2 shoots
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	1			6,0	18,0		8		91																	14				
Ulv	Ver_off	Extant	6	5	2018	13.09.2018	SO	1			27,5	17,5	35	24		12	9																				
Ulv	Ver_off	Extant	6	5	2018	13.09.2018	SO	2			28,0	17,0	15	10		10	7																				
Ulv	Ver_off	Extant	6	5	2018	13.09.2018	SO	3			28,0	8,0	10	8		12	6																				
Ulv	Ver_off	Extant	6	5	2018	13.09.2018	SO	4			28,5	6,5	20	18		19	9																				
Ulv	Vio_can	Extant	7	2	2018	12.09.2018	RG	1			16,5	16,5	26	5		32	28																				
Ulv	Vio_can	Extant	7	2	2018	12.09.2018	RG	2			18,0	15,5	39	9		38	34																				
Ulv	Vio_can	Extant	7	2	2018	12.09.2018	RG	3			17,0	6,0	29	25		31	27																				many at the same spot
Ulv	Ver_off	Extant	7	2	2018	12.09.2018	RG	1	2		27,5	19,0	34	8		21	11																				
Ulv	Ver_off	Extant	7	2	2018	12.09.2018	RG	2			29,0	17,0	60	10		19	11																				
Ulv	Ver_off	Extant	7	2	2018	12.09.2018	RG	3	4		27,5	8,5	12	6		11	5																				
Ulv	Ver_off	Extant	7	2	2018	12.09.2018	RG	4			27,5	7,0	34	9		15	8																				
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	2			8,0	19,5		5		121																					2 shoots
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	3			7,0	17,0		9		53																	12				2 shoots
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	4			8,5	18,0		9		84																					3 shoots
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	5			8,5	7,0		9		97																	8				2 shoots
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	6			10,0	8,0		13		116																					2shoot
Ulv	Car_pil	Extant	5	3	2018	13.09.2018	RG	7			9,5	6,5		5		20																					chewed up/graxed
Ulv	Car_pil	Extant	6	1	2018	13.09.2018	SO	1			28,0	17,5		38		116																	14				
